Tiempo,Temperatura (°C),Humedad (%),Distancia (cm),Ruido (dB)
2025-06-06 20:17:04,29.0,59.8,0.0,33.49
2025-06-06 20:17:06,29.0,59.8,80.05,37.49
2025-06-06 20:17:08,28.9,59.9,80.07,38.39
2025-06-06 20:17:10,28.9,59.8,80.07,35.6
2025-06-06 20:17:12,29.0,59.9,80.04,36.06
2025-06-06 20:17:14,28.9,60.0,80.16,35.84
2025-06-06 20:17:16,28.9,59.9,7.65,41.51
2025-06-06 20:17:18,29.0,59.9,7.11,38.39
2025-06-06 20:17:20,29.0,60.0,80.07,37.86
2025-06-06 20:17:22,29.0,59.8,79.97,38.48
2025-06-06 20:17:24,29.0,59.7,80.05,36.91
